Year,Category,Bias ,Value
2017,Religion,"Anti-Eastern Orthodox (Russian, Greek, Other)",20
2017,Religion,Anti-Hindu,10
2017,Religion,Anti-Islamic (Muslim),277
2017,Religion,Anti-Jehovah's Witness,7
2017,Religion,Anti-Jewish,957
2017,Religion,"Anti-Multiple Religions, Group",50
2017,Religion,Anti-Other Christian,25
2017,Religion,Anti-Other Religion,84
2017,Religion,Anti-Protestant,40
2017,Religion,Anti-Sikh,18
2017,Sexual Orientation,Anti-Bisexual,24
2017,Sexual Orientation,Anti-Gay (Male),677
2017,Sexual Orientation,Anti-Heterosexual,31
2017,Sexual Orientation,Anti-Lesbian (Female),129
2017,Sexual Orientation,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",283
2018,Disability,Anti-Mental Disability,103
2018,Disability,Anti-Physical Disability,61
2018,Gender,Anti-Female,41
2018,Gender,Anti-Male,22
2018,Gender Identity,Anti-Gender Non-Conforming,26
2018,Gender Identity,Anti-Transgender,143
2018,Race,Anti-American Indian or Alaska Native,183
2018,Race,Anti-Arab,80
2018,Race,Anti-Asian,148
2018,Race,Anti-Black or African American,"1,948"
2018,Race,Anti-Hispanic or Latino,494
2018,Race,"Anti-Multiple Races, Group",134
2018,Race,Anti-Native Hawaiian or Other Pacific Islander,14
2018,Race,Anti-Other Race/Ethnicity/Ancestry,268
2018,Race,Anti-White,782
2018,Religion,Anti-Atheism/Agnosticism,4
2018,Religion,Anti-Buddhist,9
2018,Religion,Anti-Catholic,50
2018,Religion,Anti-Church of Jesus Christ,8
2018,Religion,"Anti-Eastern Orthodox (Russian, Greek, Other)",32
2018,Religion,Anti-Hindu,13
2018,Religion,Anti-Islamic (Muslim),192
2018,Religion,Anti-Jehovah's Witness,10
2018,Religion,Anti-Jewish,850
2018,Religion,"Anti-Multiple Religions, Group",46
2018,Religion,Anti-Other Christian,50
2018,Religion,Anti-Other Religion,95
2018,Religion,Anti-Protestant,35
2018,Religion,Anti-Sikh,40
2018,Sexual Orientation,Anti-Bisexual,20
2018,Sexual Orientation,Anti-Gay (Male),743
2018,Sexual Orientation,Anti-Heterosexual,21
2018,Sexual Orientation,Anti-Lesbian (Female),131
2018,Sexual Orientation,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",306
2018,Unknown (offender's motivation not known),Unknown (offender's motivation not known),1
2019,Disability,Anti-Mental Disability,100
2019,Disability,Anti-Physical Disability,45
2019,Gender,Anti-Female,54
2019,Gender,Anti-Male,16
2019,Gender Identity,Anti-Gender Non-Conforming,42
2019,Gender Identity,Anti-Transgender,158
2019,Race,Anti-American Indian or Alaska Native,99
2019,Race,Anti-Arab,100
2019,Race,Anti-Asian,188
2019,Race,Anti-Black or African American,"2,176"
2019,Race,Anti-Hispanic or Latino,561
2019,Race,"Anti-Multiple Races, Group",132
2019,Race,Anti-Native Hawaiian or Other Pacific Islander,21
2019,Race,Anti-Other Race/Ethnicity/Ancestry,317
2019,Race,Anti-White,676
2019,Religion,Anti-Atheism/Agnosticism,6
2019,Religion,Anti-Buddhist,7
2019,Religion,Anti-Catholic,68
2019,Religion,Anti-Church of Jesus Christ,11
2019,Religion,"Anti-Eastern Orthodox (Russian, Greek, Other)",53
2019,Religion,Anti-Hindu,6
2019,Religion,Anti-Islamic (Muslim),185
2019,Religion,Anti-Jehovah's Witness,6
2019,Religion,Anti-Jewish,"1,053"
2019,Religion,"Anti-Multiple Religions, Group",40
2019,Religion,Anti-Other Christian,51
2019,Religion,Anti-Other Religion,87
2019,Religion,Anti-Protestant,24
2019,Religion,Anti-Sikh,55
2019,Sexual Orientation,Anti-Bisexual,31
2019,Sexual Orientation,Anti-Gay (Male),765
2019,Sexual Orientation,Anti-Heterosexual,18
2019,Sexual Orientation,Anti-Lesbian (Female),115
2019,Sexual Orientation,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",303
2020,Disability,Anti-Mental Disability,89
2020,Disability,Anti-Physical Disability,57
2020,Gender,Anti-Female,54
2020,Gender,Anti-Male,20
2020,Gender Identity,Anti-Gender Non-Conforming,59
2020,Gender Identity,Anti-Transgender,218
2020,Race,Anti-American Indian or Alaska Native,109
2020,Race,Anti-Arab,80
2020,Race,Anti-Asian,332
2020,Race,Anti-Black or African American,"3,466"
2020,Race,Anti-Hispanic or Latino,606
2020,Race,"Anti-Multiple Races, Group",233
2020,Race,Anti-Native Hawaiian or Other Pacific Islander,20
2020,Race,Anti-Other Race/Ethnicity/Ancestry,345
2020,Race,Anti-White,"1,064"
2020,Religion,Anti-Atheism/Agnosticism,12
2020,Religion,Anti-Buddhist,21
2020,Religion,Anti-Catholic,75
2020,Religion,Anti-Church of Jesus Christ,8
2020,Religion,"Anti-Eastern Orthodox (Russian, Greek, Other)",52
2020,Religion,Anti-Hindu,10
2020,Religion,Anti-Islamic (Muslim),128
2020,Religion,Anti-Jehovah's Witness,7
2020,Religion,Anti-Jewish,853
2020,Religion,"Anti-Multiple Religions, Group",52
2020,Religion,Anti-Other Christian,58
2020,Religion,Anti-Other Religion,80
2020,Religion,Anti-Protestant,36
2020,Religion,Anti-Sikh,97
2020,Sexual Orientation,Anti-Bisexual,18
2020,Sexual Orientation,Anti-Gay (Male),757
2020,Sexual Orientation,Anti-Heterosexual,12
2020,Sexual Orientation,Anti-Lesbian (Female),124
2020,Sexual Orientation,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",336
2021,Disability,Anti-Mental Disability,90
2021,Disability,Anti-Physical Disability,46
2021,Gender,Anti-Female,55
2021,Gender,Anti-Male,17
2021,Gender Identity,Anti-Gender Non-Conforming,90
2021,Gender Identity,Anti-Transgender,176
2021,Race,Anti-American Indian or Alaska Native,125
2021,Race,Anti-Arab,75
2021,Race,Anti-Asian,305
2021,Race,Anti-Black or African American,"2,233"
2021,Race,Anti-Hispanic or Latino,433
2021,Race,"Anti-Multiple Races, Group",130
2021,Race,Anti-Native Hawaiian or Other Pacific Islander,33
2021,Race,Anti-Other Race/Ethnicity/Ancestry,214
2021,Race,Anti-White,948
2021,Religion,Anti-Atheism/Agnosticism,20
2021,Religion,Anti-Buddhist,29
2021,Religion,Anti-Catholic,62
2021,Religion,Anti-Church of Jesus Christ,19
2021,Religion,"Anti-Eastern Orthodox (Russian, Greek, Other)",65
2021,Religion,Anti-Hindu,10
2021,Religion,Anti-Islamic (Muslim),96
2021,Religion,Anti-Jehovah's Witness,6
2021,Religion,Anti-Jewish,324
2021,Religion,"Anti-Multiple Religions, Group",33
2021,Religion,Anti-Other Christian,39
2021,Religion,Anti-Other Religion,56
2021,Religion,Anti-Protestant,40
2021,Religion,Anti-Sikh,214
2021,Sexual Orientation,Anti-Bisexual,34
2021,Sexual Orientation,Anti-Gay (Male),543
2021,Sexual Orientation,Anti-Heterosexual,14
2021,Sexual Orientation,Anti-Lesbian (Female),126
2021,Sexual Orientation,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",415
